tarih,Diger_Riskler,Net_Kar,Kredi_Risk_Karsiligi,Net_Faiz_Marji,Faiz_Geliri,Faiz_Gideri
2023-01-01 00:00:00,2995.365,39319.844,19307.855,52209.314,133265.235,81055.921
2023-02-01 00:00:00,2441.452,26243.944,14453.106,42988.944,123174.141,80185.197
2023-03-01 00:00:00,5443.215,40530.993,14224.731,52250.895,150428.535,98177.64
2023-04-01 00:00:00,1343.33,38604.425,5867.626,42234.819,145804.501,103569.682
2023-05-01 00:00:00,3072.636,45645.049,10354.702,34168.093,156065.158,121897.065
2023-06-01 00:00:00,6113.439,62192.003,26753.52,33768.657,181080.617,147311.96
2023-07-01 00:00:00,2243.929,40880.842,10831.01,38301.786,203918.21,165616.424
2023-08-01 00:00:00,3634.19,57171.856,6112.374,65785.295,221186.3,155401.005
2023-09-01 00:00:00,2039.092,88288.204,19405.733,115090.167,299184.583,184094.416
2023-10-01 00:00:00,4562.738,47152.902,8967.48999999999,76073.861,302071.794,225997.933
2023-11-01 00:00:00,3469.956,49440.731,11872.195,79773.1800000001,330065.006,250291.826
2023-12-01 00:00:00,21326.249,85024.03,8705.64900000001,85725.8539999999,377116.689,291390.835
2024-01-01 00:00:00,5306.353,31953.992,28625.101,53987.818,364071.231,310083.413
2024-02-01 00:00:00,2984.883,42779.706,16821.283,67142.412,363098.273,295955.861
2024-03-01 00:00:00,4917.159,85350.763,17912.877,93788.298,434225.743,340437.445
2024-04-01 00:00:00,2949.256,30826.643,4615.443,82526.958,433214.403,350687.445
2024-05-01 00:00:00,4073.502,42738.218,8357.357,77843.58,480581.671,402738.091
2024-06-01 00:00:00,2175.094,80379.175,4780.163,68686.487,486969.883,418283.396
2024-07-01 00:00:00,3457.393,34688.394,3972.686,69636.18,515357.847,445721.667
2024-08-01 00:00:00,2373.618,34053.823,10999.145,61158.906,523864.963,462706.057
2024-09-01 00:00:00,6252.286,77641.763,4466.303,89177.41,544363.579,455186.169
2024-10-01 00:00:00,2971.24,55215.399,11368.144,98902.394,579874.68,480972.286
2024-11-01 00:00:00,6886.053,67493.249,6946.853,99699.5650000001,582197.431,482497.866
2024-12-01 00:00:00,21089.054,77156.845,20814.173,123759.689,636688.101,512928.412
2025-01-01 00:00:00,8593.96,47346.625,37463.257,93892.961,621186.833,527293.872
2025-02-01 00:00:00,4549.887,70867.015,16515.482,100425.947,566003.736,465577.789
2025-03-01 00:00:00,3708.94,98436.926,16211.748,123384.877,646682.001,523297.124
2025-04-01 00:00:00,3740.48,47550.947,17306.552,115720.75,630428.176,514707.426
2025-05-01 00:00:00,4702.893,62581.421,19486.697,107940.676,670809.21,562868.534
2025-06-01 00:00:00,8678.281,95675.965,15379.392,140341.39,720531.69,580190.3
2025-07-01 00:00:00,3130.696,56746.184,15930.024,127415.605,712053.195,584637.59
2025-08-01 00:00:00,5703.303,84195.973,14598.028,160798.16,747891.417,587093.257
2025-09-01 00:00:00,2326.179,106274.583,13857.13,161352.749,731366.403999999,570013.655
2025-10-01 00:00:00,6650.447,81969.787,11530.949,176951.437,753235.398,576283.961
2025-11-01 00:00:00,7911.565,91199.2220000001,11659.446,191613.763,750407.038000001,558793.274999999
